timestamp,pid,event
0,1042,CreateProcess
1,1042,OpenFile
2,1042,ReadFile
3,1042,CloseHandle
4,1042,CreateProcess
5,1042,OpenFile
6,1042,ReadFile
7,1042,CloseHandle
8,1042,CreateProcess
9,1042,OpenFile
10,1042,ReadFile
11,1042,CloseHandle
12,1042,CreateProcess
13,1042,OpenFile
14,1042,ReadFile
15,1042,CloseHandle
16,1042,CreateProcess
17,1042,OpenFile
18,1042,ReadFile
19,1042,CloseHandle
20,1042,CreateProcess
21,1042,OpenFile
22,1042,ReadFile
23,1042,CloseHandle
24,1042,CreateProcess
25,1042,OpenFile
26,1042,ReadFile
27,1042,CloseHandle
28,1042,CreateProcess
29,1042,OpenFile
30,1042,ReadFile
31,1042,CloseHandle
32,1042,WriteFile
