timestamp,pid,event
0,3553,CloseHandle
1,3553,GetFileSize
2,3553,ReadFile
3,3553,ReadFile
4,3553,CloseHandle
5,3553,CreateFileW
6,3553,CloseHandle
7,3553,ReadFile
8,3553,_wcsicmp
9,3553,CreateFileW
10,3553,ReadFile
11,3553,FindFirstFileW
12,3553,CloseHandle
13,3553,FindFirstFileW
14,3553,FindNextFileW
15,3553,ReadFile
16,3553,_wcsicmp
17,3553,CloseHandle
18,3553,FindNextFileW
19,3553,FindFirstFileW
20,3553,_wcsicmp
21,3553,FindNextFileW
22,3553,FindFirstFileW
23,3553,FindFirstFile
24,3553,CloseHandle
25,3553,_wcsicmp
26,3553,CreateFileW
27,3553,ReadFile
28,3553,FindFirstFileW
29,3553,GetFileSize
30,3553,_wcsicmp
31,3553,_wcsicmp
32,3553,_wcsicmp
33,3553,FindFirstFile
34,3553,CreateFileW
35,3553,FindNextFileW
36,3553,_wcsicmp
37,3553,GetFileSize
38,3553,FindNextFileW
39,3553,ReadFile
40,3553,CloseHandle
41,3553,ReadFile
42,3553,FindFirstFileW
43,3553,CloseHandle
44,3553,ReadFile
45,3553,_wcsicmp
46,3553,ReadFile
47,3553,CloseHandle
48,3553,CreateFileW
49,3553,ReadFile
50,3553,BusyLoop
51,3553,WriteFile
52,3553,VirtualAlloc
53,3553,FlushFileBuffers
54,3553,VirtualAlloc
55,3553,WriteFile
56,3553,BusyLoop
57,3553,SetFilePointer
58,3553,CloseHandle
59,3553,FlushFileBuffers
60,3553,WriteFile
61,3553,CreateFileW
62,3553,WriteFile
63,3553,WriteFile
64,3553,FlushFileBuffers
65,3553,CreateFileW
66,3553,CloseHandle
67,3553,SetFilePointer
68,3553,WriteFile
69,3553,VirtualAlloc
70,3553,BusyLoop
71,3553,FlushFileBuffers
72,3553,WriteFile
73,3553,SetFilePointer
74,3553,WriteFile
75,3553,WriteFile
76,3553,SetFilePointer
77,3553,CloseHandle
78,3553,CreateFileW
79,3553,CloseHandle
80,3553,BusyLoop
81,3553,CloseHandle
82,3553,WriteFile
83,3553,WriteFile
84,3553,VirtualAlloc
85,3553,WriteFile
86,3553,WriteFile
87,3553,RapidFileWrite
88,3553,CreateFileW
89,3553,SetFilePointer
90,3553,SetFilePointer
91,3553,SetFilePointer
92,3553,WriteFile
93,3553,WriteFile
94,3553,FlushFileBuffers
95,3553,BusyLoop
96,3553,SetFilePointer
97,3553,WriteFile
98,3553,SetFilePointer
99,3553,VirtualAlloc
100,3553,WriteFile
101,3553,WriteFile
102,3553,WriteFile
103,3553,GetFileSize
104,3553,WriteFile
105,3553,WriteFile
106,3553,VirtualAlloc
107,3553,WriteFile
108,3553,FlushFileBuffers
109,3553,CloseHandle
110,3553,WriteFile
111,3553,WriteFile
112,3553,WriteFile
113,3553,VirtualAlloc
114,3553,WriteFile
115,3553,SetFilePointer
116,3553,CreateFileW
117,3553,WriteFile
118,3553,BusyLoop
119,3553,WriteFile
120,3553,FlushFileBuffers
121,3553,BusyLoop
122,3553,SetFilePointer
123,3553,WriteFile
124,3553,RapidFileWrite
125,3553,FlushFileBuffers
126,3553,WriteFile
127,3553,CloseHandle
128,3553,VirtualAlloc
129,3553,SetFilePointer
130,3553,WriteFile
131,3553,GetFileSize
132,3553,WriteFile
133,3553,WriteFile
134,3553,CloseHandle
135,3553,BusyLoop
136,3553,BusyLoop
137,3553,CreateFileW
138,3553,BusyLoop
139,3553,BusyLoop
140,3553,WriteFile
141,3553,WriteFile
142,3553,CloseHandle
143,3553,WriteFile
144,3553,WriteFile
145,3553,CreateFileW
146,3553,BusyLoop
147,3553,WriteFile
148,3553,BusyLoop
149,3553,WriteFile
150,3553,WriteFile
151,3553,WriteFile
152,3553,WriteFile
153,3553,CloseHandle
154,3553,FlushFileBuffers
155,3553,WriteFile
156,3553,CreateFileW
157,3553,CreateFileW
158,3553,FlushFileBuffers
159,3553,BusyLoop
160,3553,GetFileSize
161,3553,FreeLibrary
162,3553,memset
163,3553,GetWindowsDirectoryW
164,3553,CoInitialize
165,3553,FlushFileBuffers
166,3553,OpenProcess
167,3553,FreeLibrary
168,3553,SetFilePointer
169,3553,FindClose
170,3553,FindFirstFileW
171,3553,GetModuleFileNameW
172,3553,CloseHandle
173,3553,GetWindowsDirectoryW
174,3553,FindFirstFileW
175,3553,CloseHandle
176,3553,GetSystemDirectoryW
177,3553,FreeLibrary
178,3553,_wcsicmp
179,3553,OpenProcess
180,3553,ReadFile
181,3553,CreateThread
182,3553,GetTempPathW
183,3553,VirtualAlloc
184,3553,ReadFile
185,3553,FreeLibrary
186,3553,SHGetFolderPathW
187,3553,ReleaseMutex
188,3553,wcslen
189,3553,SetFilePointer
190,3553,memset
191,3553,RegCloseKey
192,3553,TerminateProcess
193,3553,SetFilePointer
194,3553,FindFirstFileW
195,3553,GetSystemDirectoryW
196,3553,RegOpenKeyExW
197,3553,FindNextFileW
198,3553,GetModuleFileNameW
199,3553,FindFirstFileW
200,3553,_stricmp
201,3553,ReadFile
