timestamp,pid,event
0,1000,CreateFile
1,1000,CreateFile
2,1000,CreateFile
3,1000,CreateThread
4,1000,ReadFile
5,1000,ReadFile
6,1000,RegQueryValue
7,1000,CreateThread
8,1000,RegQueryValue
9,1000,LoadImage
10,1000,ReadFile
11,1000,RegQueryValue
12,1000,LoadImage
13,1000,ReadFile
14,1000,RegQueryValue
15,1000,CreateFile
16,1000,ReadFile
17,1000,CreateFile
18,1000,ReadFile
19,1000,ReadFile
20,1000,RegQueryValue
21,1000,RegCreateKey
22,1000,CreateFile
23,1000,ReadFile
24,1000,CreateFile
25,1000,LoadImage
26,1000,RegSetValue
27,1000,LoadImage
28,1000,CreateFile
29,1000,LoadImage
30,1000,ReadFile
31,1000,CreateThread
32,1000,ReadFile
33,1000,LoadImage
34,1000,ReadFile
35,1000,LoadImage
36,1000,CreateFile
37,1000,CreateThread
38,1000,RegSetValue
39,1000,CreateFile
40,1000,RegSetValue
41,1000,CreateFile
42,1000,RegQueryValue
43,1000,CreateFile
44,1000,ReadFile
45,1000,CreateFile
46,1000,WriteFile
47,1000,WriteFile
48,1000,ReadFile
49,1000,CreateFile
50,1000,CreateFile
51,1000,RegQueryValue
52,1000,RegQueryValue
53,1000,RegCreateKey
54,1000,ReadFile
55,1000,ReadFile
56,1000,CreateFile
57,1000,RegQueryValue
58,1000,LoadImage
59,1000,CreateFile
60,1000,LoadImage
61,1000,ReadFile
62,1000,CreateFile
63,1000,ReadFile
64,1000,CreateFile
65,1000,ReadFile
66,1000,LoadImage
67,1000,ReadFile
68,1000,ReadFile
69,1000,ReadFile
70,1000,RegCreateKey
71,1000,RegQueryValue
72,1000,RegCreateKey
73,1000,CreateFile
74,1000,RegCreateKey
75,1000,RegQueryValue
76,1000,RegSetValue
77,1000,CreateThread
78,1000,RegQueryValue
79,1000,CreateFile
80,1000,LoadImage
81,1000,LoadImage
82,1000,CreateFile
83,1000,LoadImage
84,1000,RegQueryValue
85,1000,LoadImage
86,1000,CreateThread
87,1000,RegQueryValue
88,1000,ReadFile
89,1000,RegQueryValue
90,1000,LoadImage
91,1000,CreateFile
92,1000,RegCreateKey
93,1000,ReadFile
94,1000,LoadImage
95,1000,RegQueryValue
96,1000,RegQueryValue
97,1000,LoadImage
98,1000,LoadImage
99,1000,CreateFile
100,1000,RegQueryValue
101,1000,RegQueryValue
102,1000,RegQueryValue
103,1000,ReadFile
104,1000,RegQueryValue
105,1000,CreateFile
106,1000,RegQueryValue
107,1000,LoadImage
108,1000,LoadImage
109,1000,LoadImage
110,1000,CreateFile
111,1000,CreateFile
112,1000,LoadImage
113,1000,WriteFile
114,1000,RegSetValue
115,1000,ReadFile
116,1000,RegQueryValue
117,1000,ReadFile
118,1000,CreateThread
119,1000,RegCreateKey
120,1000,CreateFile
121,1000,ReadFile
122,1000,LoadImage
123,1000,LoadImage
124,1000,CreateFile
125,1000,RegQueryValue
126,1000,WriteFile
127,1000,RegQueryValue
128,1000,LoadImage
129,1000,RegCreateKey
130,1000,ReadFile
131,1000,ReadFile
132,1000,RegSetValue
133,1000,CreateFile
134,1000,RegSetValue
135,1000,CreateFile
136,1000,LoadImage
137,1000,ReadFile
138,1000,RegSetValue
139,1000,CreateFile
140,1000,RegQueryValue
141,1000,WriteFile
142,1000,LoadImage
143,1000,LoadImage
144,1000,LoadImage
145,1000,CreateFile
146,1000,LoadImage
147,1000,CreateThread
148,1000,LoadImage
149,1000,LoadImage
150,1000,ReadFile
151,1000,CreateFile
152,1000,WriteFile
153,1000,RegQueryValue
154,1000,ReadFile
155,1000,ReadFile
156,1000,CreateFile
157,1000,RegSetValue
158,1000,RegQueryValue
159,1000,ReadFile
160,1000,ReadFile
161,1000,RegCreateKey
162,1000,LoadImage
163,1000,RegQueryValue
164,1000,RegQueryValue
165,1000,RegQueryValue
166,1000,RegQueryValue
167,1000,LoadImage
168,1000,RegCreateKey
169,1000,LoadImage
170,1000,LoadImage
171,1000,RegQueryValue
172,1000,CreateFile
173,1000,LoadImage
174,1000,ReadFile
175,1000,RegQueryValue
176,1000,RegSetValue
177,1000,LoadImage
178,1000,LoadImage
179,1000,LoadImage
180,1000,RegQueryValue
181,1000,LoadImage
182,1000,CreateFile
183,1000,RegQueryValue
184,1000,RegQueryValue
185,1000,ReadFile
186,1000,ReadFile
