timestamp,pid,event
0,2079,CreateProcess
1,2079,VirtualAlloc
2,2079,FindFirstFile
3,2079,FindNextFile
4,2079,FindFirstFile
5,2079,FindNextFile
6,2079,FindFirstFile
7,2079,FindNextFile
8,2079,FindFirstFile
9,2079,FindNextFile
10,2079,FindFirstFile
11,2079,FindNextFile
12,2079,FindFirstFile
13,2079,FindNextFile
14,2079,FindFirstFile
15,2079,FindNextFile
16,2079,FindFirstFile
17,2079,FindNextFile
18,2079,FindFirstFile
19,2079,FindNextFile
20,2079,FindFirstFile
21,2079,FindNextFile
22,2079,FindFirstFile
23,2079,FindNextFile
24,2079,FindFirstFile
25,2079,FindNextFile
26,2079,OpenFile
27,2079,BusyLoop
28,2079,WriteFile
29,2079,RapidFileWrite
30,2079,OpenFile
31,2079,BusyLoop
32,2079,WriteFile
33,2079,RapidFileWrite
34,2079,OpenFile
35,2079,BusyLoop
36,2079,WriteFile
37,2079,RapidFileWrite
38,2079,OpenFile
39,2079,BusyLoop
40,2079,WriteFile
41,2079,RapidFileWrite
42,2079,OpenFile
43,2079,BusyLoop
44,2079,WriteFile
45,2079,RapidFileWrite
46,2079,OpenFile
47,2079,BusyLoop
48,2079,WriteFile
49,2079,RapidFileWrite
50,2079,OpenFile
51,2079,BusyLoop
52,2079,WriteFile
53,2079,RapidFileWrite
54,2079,OpenFile
55,2079,BusyLoop
56,2079,WriteFile
57,2079,RapidFileWrite
58,2079,OpenFile
59,2079,BusyLoop
60,2079,WriteFile
61,2079,RapidFileWrite
62,2079,OpenFile
63,2079,BusyLoop
64,2079,WriteFile
65,2079,RapidFileWrite
66,2079,OpenFile
67,2079,BusyLoop
68,2079,WriteFile
69,2079,RapidFileWrite
70,2079,OpenFile
71,2079,BusyLoop
72,2079,WriteFile
73,2079,RapidFileWrite
74,2079,OpenFile
75,2079,BusyLoop
76,2079,WriteFile
77,2079,RapidFileWrite
78,2079,OpenFile
79,2079,BusyLoop
80,2079,WriteFile
81,2079,RapidFileWrite
82,2079,OpenFile
83,2079,BusyLoop
84,2079,WriteFile
85,2079,RapidFileWrite
86,2079,OpenFile
87,2079,BusyLoop
88,2079,WriteFile
89,2079,RapidFileWrite
90,2079,OpenFile
91,2079,BusyLoop
92,2079,WriteFile
93,2079,RapidFileWrite
94,2079,OpenFile
95,2079,BusyLoop
96,2079,WriteFile
97,2079,RapidFileWrite
98,2079,OpenFile
99,2079,BusyLoop
100,2079,WriteFile
101,2079,RapidFileWrite
102,2079,OpenFile
103,2079,BusyLoop
104,2079,WriteFile
105,2079,RapidFileWrite
106,2079,OpenFile
107,2079,BusyLoop
108,2079,WriteFile
109,2079,RapidFileWrite
110,2079,OpenFile
111,2079,BusyLoop
112,2079,WriteFile
113,2079,RapidFileWrite
114,2079,OpenFile
115,2079,BusyLoop
116,2079,WriteFile
117,2079,RapidFileWrite
118,2079,OpenFile
119,2079,BusyLoop
120,2079,WriteFile
121,2079,RapidFileWrite
122,2079,OpenFile
123,2079,BusyLoop
124,2079,WriteFile
125,2079,RapidFileWrite
126,2079,OpenFile
127,2079,BusyLoop
128,2079,WriteFile
129,2079,RapidFileWrite
130,2079,DeleteFile
131,2079,TerminateProcess
