timestamp,pid,event
0,2219,2;_wcsicmp;
1,2219,3;RtlLeaveCriticalSection;
2,2219,4;RtlAllocateHeap;
3,2219,5;RtlInitializeCriticalSectionAndSpinCount;
4,2219,6;RtlEnterCriticalSection;
5,2219,7;wcsrchr;
6,2219,8;wcsrchr;
7,2219,9;_wcsnicmp;
8,2219,10;memset;
9,2219,11;RtlAllocateHeap;
10,2219,12;RtlAllocateHeap;
11,2219,13;memset;
12,2219,14;RtlLeaveCriticalSection;
13,2219,15;RtlEnterCriticalSection;
14,2219,16;RtlAllocateHeap;
15,2219,17;RtlAllocateHeap;
16,2219,18;RtlAllocateHeap;
17,2219,19;memset;
18,2219,20;RtlLeaveCriticalSection;
19,2219,21;RtlEnterCriticalSection;
20,2219,22;RtlAllocateHeap;
21,2219,23;RtlAllocateHeap;
22,2219,24;RtlLeaveCriticalSection;
23,2219,25;RtlEnterCriticalSection;
24,2219,26;RtlAllocateHeap;
25,2219,27;RtlAllocateHeap;
26,2219,28;RtlLeaveCriticalSection;
27,2219,29;RtlEnterCriticalSection;
28,2219,30;RtlAllocateHeap;
29,2219,31;RtlAllocateHeap;
30,2219,32;RtlLeaveCriticalSection;
31,2219,33;RtlEnterCriticalSection;
32,2219,34;RtlAllocateHeap;
33,2219,35;RtlAllocateHeap;
34,2219,36;RtlReAllocateHeap;
35,2219,37;RtlLeaveCriticalSection;
36,2219,38;RtlEnterCriticalSection;
37,2219,39;RtlAllocateHeap;
38,2219,40;RtlAllocateHeap;
39,2219,41;RtlLeaveCriticalSection;
40,2219,42;RtlEnterCriticalSection;
41,2219,43;RtlAllocateHeap;
42,2219,44;RtlAllocateHeap;
43,2219,45;RtlLeaveCriticalSection;
44,2219,46;RtlEnterCriticalSection;
45,2219,47;RtlAllocateHeap;
46,2219,48;RtlAllocateHeap;
47,2219,49;RtlLeaveCriticalSection;
48,2219,50;RtlEnterCriticalSection;
49,2219,51;RtlAllocateHeap;
50,2219,52;RtlAllocateHeap;
51,2219,53;RtlReAllocateHeap;
52,2219,54;RtlLeaveCriticalSection;
53,2219,55;RtlEnterCriticalSection;
54,2219,56;RtlAllocateHeap;
55,2219,57;RtlAllocateHeap;
56,2219,58;RtlLeaveCriticalSection;
57,2219,59;RtlEnterCriticalSection;
58,2219,60;RtlAllocateHeap;
59,2219,61;RtlAllocateHeap;
60,2219,62;RtlLeaveCriticalSection;
61,2219,63;RtlEnterCriticalSection;
62,2219,64;RtlAllocateHeap;
63,2219,65;RtlAllocateHeap;
64,2219,66;RtlLeaveCriticalSection;
65,2219,67;RtlEnterCriticalSection;
66,2219,68;RtlAllocateHeap;
67,2219,69;RtlAllocateHeap;
68,2219,70;RtlReAllocateHeap;
69,2219,71;RtlLeaveCriticalSection;
70,2219,72;RtlEnterCriticalSection;
71,2219,73;RtlAllocateHeap;
72,2219,74;RtlAllocateHeap;
