threshold,precision,recall,f1,tn,fp,fn,tp
0.1,0.5094,1.0,0.675,2,52,0,54
0.15,0.9474,1.0,0.973,51,3,0,54
0.2,0.9643,1.0,0.9818,52,2,0,54
0.25,0.9815,0.9815,0.9815,53,1,1,53
0.3,1.0,0.9444,0.9714,54,0,3,51
0.35,1.0,0.9444,0.9714,54,0,3,51
0.4,0.0,0.0,0.0,54,0,54,0
0.45,0.0,0.0,0.0,54,0,54,0
0.5,0.0,0.0,0.0,54,0,54,0
0.55,0.0,0.0,0.0,54,0,54,0
0.6,0.0,0.0,0.0,54,0,54,0
0.65,0.0,0.0,0.0,54,0,54,0
0.7,0.0,0.0,0.0,54,0,54,0
0.75,0.0,0.0,0.0,54,0,54,0
0.8,0.0,0.0,0.0,54,0,54,0
0.85,0.0,0.0,0.0,54,0,54,0
0.9,0.0,0.0,0.0,54,0,54,0
